pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
CH,2025-09-27,90,-1.61,5.6,"Schwarber, Kyle",656941,690953,field_out,hit_into_play,,,,,7,"Kyle Schwarber grounds out, second baseman Ryan Fitzgerald to first baseman Kody Clemens.",R,L,R,PHI,MIN,X,4,ground_ball,2,1,2025,-1.12,0.16,-0.4609598100870730,1.5624587722440800,,,,1,6,Bot,154.06,154.56,,,,,5.276230467449290,-131.01461017109200,-4.4825607675702400,-14.031246322941400,25.212559204475500,-29.615987370959000,3.29,1.51,6,101.8,-15,91.1,1774,6.8,776163,680777,665019,680837,668904,686797,668885,681546,680577,53.73,0.215,0.193,0,1,0,0,2,45,4,Changeup,0,3,0,3,3,0,0,3,Infield shade,Standard,228,-0.021,-0.298,81.5,7.7,0.23,0.298,101.8,-3,-3,0.138,0.138,23,32,24,32,3,2,7,1,,1,2.63,1.12,-1.12,27.5,10.981579533993000,2.072308225397080,33.27879012781750,39.39357628946930,31.14463614934810
SL,2025-09-27,88.8,-1.53,5.59,"Schwarber, Kyle",656941,690953,,ball,,,,,11,Ball,R,L,R,PHI,MIN,B,,,1,1,2025,0.05,0.44,-0.8663145164920780,2.8964542188305200,,,,1,6,Bot,,,,,,,1.5414082137371100,-129.39592651313800,-1.5330113783139500,0.31173333559874800,24.006188193451000,-27.13979976025420,3.24,1.46,,,,90.1,2569,6.8,776163,680777,665019,680837,668904,686797,668885,681546,680577,53.74,,,,,,,,45,3,Slider,0,3,0,3,3,0,0,3,Infield shade,Standard,135,0.004,0.055,,,,-0.055,,-3,-3,0.134,0.134,23,32,24,32,3,2,7,1,,1,2.42,-0.05,0.05,26.3,,,,,
CH,2025-09-27,89.9,-1.55,5.63,"Schwarber, Kyle",656941,690953,,ball,,,,,13,Ball,R,L,R,PHI,MIN,B,,,0,1,2025,-1.17,0.09,-1.0157031108651200,1.373516440394010,,,,1,6,Bot,,,,,,,3.847654373208810,-130.91815551175400,-4.829256278925970,-14.264400651737600,26.836307950412600,-30.354597737450900,3.19,1.46,,,,90.8,1645,6.7,776163,680777,665019,680837,668904,686797,668885,681546,680577,53.78,,,,,,,,45,2,Changeup,0,3,0,3,3,0,0,3,Infield shade,Standard,232,0.002,0.029,,,,-0.029,,-3,-3,0.132,0.132,23,32,24,32,3,2,7,1,,1,2.72,1.17,-1.17,26.8,,,,,
SI,2025-09-27,96.1,-1.61,5.72,"Schwarber, Kyle",656941,690953,,called_strike,,,,,7,Called Strike,R,L,R,PHI,MIN,S,,,0,0,2025,-1.37,0.53,-0.6064457539465930,1.7930900682468300,,,,1,6,Bot,,,,,,,5.817551556042900,-139.7720962626680,-6.004486002423950,-19.267982752851100,32.887331056173800,-24.072584961198900,3.29,1.51,,,,96.6,2242,6.7,776163,680777,665019,680837,668904,686797,668885,681546,680577,53.82,,,,,,,,45,1,Sinker,0,3,0,3,3,0,0,3,Infield shade,Standard,213,-0.003,-0.039,,,,0.039,,-3,-3,0.135,0.135,23,32,24,32,3,2,7,1,,1,1.95,1.37,-1.37,31.4,,,,,
FF,2025-09-27,96.5,-1.29,5.79,"Schwarber, Kyle",656941,690953,field_out,hit_into_play,,,,,3,Kyle Schwarber pops out to first baseman Kody Clemens in foul territory.,R,L,R,PHI,MIN,X,3,popup,0,1,2025,-0.6,1.39,0.795902791601079,2.7703157562803800,,,,0,4,Bot,154.76,182.58,,,,,6.966839728439160,-140.3787676151770,-5.680474303836840,-9.482390497192700,31.04468193255730,-12.704725666310700,3.29,1.51,85,77,73,97.4,2484,6.7,776163,680777,665019,680837,668904,686797,668885,681546,676812,53.76,0.001,0,0,1,0,0,3,28,2,4-Seam Fastball,0,2,0,2,2,0,0,2,Infield shade,Standard,219,-0.025,-0.22,76.1,7.0,0.001,0.22,88.0,-2,-2,0.307,0.307,23,32,24,32,2,1,7,1,,1,1.06,0.6,-0.6,36.3,16.925680593804200,-6.882259719234140,31.45584102221300,24.358208668577600,33.61692422083110
SI,2025-09-27,96.2,-1.44,5.81,"Schwarber, Kyle",656941,690953,,swinging_strike,,,,,11,Swinging Strike,R,L,R,PHI,MIN,S,,,0,0,2025,-1.28,0.72,-0.8942748680316330,2.6930478168806200,,,,0,4,Bot,,,,,,,4.385302945610200,-139.97725207339500,-4.349881946832170,-17.785392289609000,32.10627098988020,-21.873239903403500,3.29,1.51,,,,96.8,2383,6.7,776163,680777,665019,680837,668904,686797,668885,681546,676812,53.83,,,,,,,,28,1,Sinker,0,2,0,2,2,0,0,2,Infield shade,Standard,217,-0.004,-0.039,78.3,6.8,,0.039,,-2,-2,0.311,0.311,23,32,24,32,2,1,7,1,,1,1.74,1.28,-1.28,30.1,7.992802997402180,22.26273302169760,26.693568895087000,43.563985053338700,17.79879996072280
FF,2025-09-27,93.7,-1,6.04,"Schwarber, Kyle",656941,701487,strikeout,called_strike,,,,,13,Kyle Schwarber called out on strikes.,R,L,R,PHI,MIN,S,2,,0,2,2025,-0.68,1.73,-0.9099269905888440,1.7352017816642100,,,,2,8,Bot,,,,,,,1.7397786538533800,-136.2510879257150,-9.167584149214960,-8.82681749894693,30.516099854480300,-8.804099613467740,3.38,1.53,,,,93.5,2332,6.3,776163,680777,665019,680837,668904,686797,668885,681546,680577,54.24,,0,0,1,0,0,,63,3,4-Seam Fastball,0,5,0,5,5,0,0,5,Infield shade,Standard,209,-0.001,-0.16,,,,0.16,,-5,-5,0.007,0.007,25,32,26,32,1,3,2,1,,1,0.87,0.68,-0.68,48.1,,,,,
CH,2025-09-27,83.2,-0.94,6.12,"Schwarber, Kyle",656941,701487,,swinging_strike,,,,,13,Swinging Strike,R,L,R,PHI,MIN,S,,,0,1,2025,-1.16,0.33,-0.7375584891857930,0.9645749592907040,,,,2,8,Bot,,,,,,,2.739170966442650,-121.02655693996800,-5.991706539924720,-11.972638271221500,23.648676830743600,-27.984398188453600,3.29,1.51,,,,82.9,2084,6.1,776163,680777,665019,680837,668904,686797,668885,681546,680577,54.42,,,,,,,,63,2,Changeup,0,5,0,5,5,0,0,5,Infield shade,Standard,251,-0.001,-0.057,66.4,8.8,,0.057,,-5,-5,0.008,0.008,25,32,26,32,1,3,2,1,,1,2.97,1.16,-1.16,46.5,27.662704061680500,-48.54604016536330,29.285028524081300,40.87848153994400,57.417282248924800
FC,2025-09-27,85.6,-0.88,6.09,"Schwarber, Kyle",656941,701487,,called_strike,,,,,1,Called Strike,R,L,R,PHI,MIN,S,,,0,0,2025,0.25,0.58,-0.5635230149723100,3.175707790074870,,,,2,8,Bot,,,,,,,0.2525119317931630,-124.73834468186100,-1.8248373449840300,2.5470784844391500,23.99322984780720,-25.914279168865600,3.33,1.51,,,,85.4,2142,6,776163,680777,665019,680837,668904,686797,668885,681546,680577,54.5,,,,,,,,63,1,Cutter,0,5,0,5,5,0,0,5,Infield shade,Standard,186,0,-0.043,,,,0.043,,-5,-5,0.008,0.008,25,32,26,32,1,3,2,1,,1,2.51,-0.25,0.25,54.0,,,,,
CH,2025-09-27,91,-1.56,5.65,"Schwarber, Kyle",656941,690953,strikeout,swinging_strike,,,,,13,Kyle Schwarber strikes out swinging.,R,L,R,PHI,MIN,S,2,,2,2,2025,-1.09,-0.12,-0.6405968184263180,1.0459722739537200,,,,1,1,Bot,,,,,,,4.678621539605730,-132.56721166942400,-5.484256552933510,-13.825429613465900,25.71064659462030,-32.692296741432800,3.29,1.51,,,,92.1,1827,6.7,776163,680777,665019,680837,668904,686797,668885,681546,676812,53.85,,0,0,1,0,0,,8,5,Changeup,0,1,0,1,1,0,0,1,Infield shade,Standard,228,-0.015,-0.228,76.7,8.3,,0.228,,-1,-1,0.422,0.422,23,32,24,32,1,0,7,1,,1,2.84,1.09,-1.09,27.1,17.823594135047500,-11.12360013139090,33.755061190875100,40.00742460741510,38.55686374252510
